id,state,race,party,last_election,voter_type
94781,AZ,w,d,d,registered
44850,AL,h,r,i,registered
76561,AL,b,d,d,registered
16445,AR,w,i,d,registered
73608,AR,h,r,r,registered
92755,AZ,w,d,i,likely
63041,CT,w,r,r,registered
59092,AR,w,r,r,registered
82301,CO,w,d,d,registered
24075,CO,h,r,d,registered
44534,AZ,a,d,d,registered
22904,AL,h,d,r,registered
87622,AR,w,r,d,likely
32557,AK,w,d,d,registered
26012,CT,w,r,r,likely
69753,AR,w,d,d,registered
28130,AL,w,d,r,likely
43445,CT,w,d,d,registered
20182,CA,w,r,d,likely
78502,AZ,w,d,r,registered
72615,CT,h,d,r,registered
56144,CA,w,d,r,registered
55599,AZ,w,d,r,registered
45167,CA,b,r,d,registered
61771,CA,w,r,r,registered
65391,CO,w,d,d,registered
72231,AZ,w,d,d,likely
88640,AL,w,d,d,registered
54041,AK,w,d,d,registered
53512,AZ,h,r,d,registered
16356,CO,w,r,d,registered
34870,AK,b,d,d,registered
83850,CA,w,r,i,registered
76381,CA,h,d,r,likely
58368,AK,a,d,r,registered
82438,AZ,w,r,i,likely
28066,CT,h,r,d,likely
98515,AR,w,d,r,registered
83752,CT,w,r,i,likely
37117,CA,w,d,d,registered
26675,AR,w,d,i,likely
61466,CA,w,r,i,likely
83801,AR,w,r,r,registered
41345,AZ,w,d,d,likely
65208,AR,w,r,d,likely
39492,AZ,w,d,r,registered
71056,AL,w,d,d,likely
36312,CA,w,r,r,likely
34733,AR,w,r,r,registered
76803,AK,h,d,d,likely
56492,CO,h,r,r,registered
98753,AK,w,r,d,registered
49873,CT,h,r,r,likely
42267,AK,w,d,d,registered
98486,CT,w,d,r,registered
87623,AL,w,r,d,registered
57821,CA,w,d,r,likely
25751,AK,o,d,d,registered
29381,CO,w,r,r,likely
72826,AL,a,d,i,registered
34357,CA,w,r,d,registered
56194,CO,w,r,r,registered
27536,AR,w,r,r,registered
38916,CA,w,d,r,likely
81657,AZ,h,d,r,registered
60428,CA,b,d,r,registered
13054,AL,w,d,r,registered
46131,CO,b,d,r,registered
85087,CA,w,r,r,registered
27606,AK,w,d,r,likely
31341,AR,w,d,r,registered
37853,AZ,w,d,r,registered
67791,CA,w,i,r,likely
26998,AR,w,d,d,registered
44278,CO,o,r,r,registered
21627,AK,w,d,r,likely
84615,AK,b,d,r,registered
76855,AR,a,r,r,registered
56918,CA,b,d,i,registered
39165,AR,w,r,r,registered
79471,CA,a,d,d,likely
23034,CT,w,d,r,likely
30727,CT,w,r,r,registered
94524,AZ,b,r,d,likely
24146,AR,w,r,d,likely
38603,AR,b,d,d,registered
14078,AR,w,d,d,registered
94295,CA,w,r,d,likely
21427,AZ,b,d,r,registered
47649,CT,w,r,r,registered
12727,AR,a,r,d,registered
21592,AR,b,d,d,likely
95139,AR,w,r,d,registered
62006,CO,a,d,r,registered
13095,AR,w,d,r,likely
78596,AZ,h,d,d,registered
81678,CO,w,r,d,registered
27742,AR,w,d,d,registered
55055,CO,h,d,r,registered
54990,CT,w,r,d,registered
26911,CO,w,d,d,likely
67501,AZ,h,r,r,likely
28112,AZ,b,r,d,registered
47308,CO,w,d,d,registered
57929,AZ,h,d,r,registered
69725,AZ,w,r,d,likely
70578,AK,b,r,r,registered
73156,CO,a,d,d,registered
77758,AL,h,r,r,likely
59902,AK,w,r,d,registered
73328,AL,a,r,r,registered
24611,CT,h,r,i,registered
61701,AR,w,r,r,registered
55965,CO,w,d,r,registered
64162,AR,h,d,r,registered
98172,AK,w,r,d,registered
23722,AZ,w,r,d,registered
38233,AR,w,r,r,registered
81224,AR,b,d,r,registered
57820,AZ,w,r,d,registered
68810,AL,a,r,r,registered
74702,CT,w,d,d,likely
18291,CT,h,r,d,likely
40408,AK,w,r,r,registered
17325,CO,b,d,r,registered
58618,AZ,h,r,d,likely
14383,CA,b,d,i,registered
52019,AK,b,d,r,registered
10037,CA,w,i,d,likely
61280,AK,h,r,d,registered
78657,AL,w,r,d,registered
39078,CO,w,d,d,registered
65794,CA,w,r,r,registered
83112,CT,w,d,d,registered
53387,CT,w,r,r,registered
51533,CT,w,i,r,registered
54555,AK,w,d,d,likely
62369,CA,w,r,d,registered
54853,CT,w,d,d,registered
92176,CO,w,r,d,registered
64229,CT,w,r,i,likely
42453,AZ,w,d,d,registered
76842,AL,w,d,r,likely
22152,AK,b,r,d,likely
37430,AR,w,d,d,registered
10320,CO,w,r,d,registered
35115,AZ,w,d,d,registered
68416,CT,h,d,r,registered
57602,AR,w,r,d,registered
44408,AL,a,d,r,likely
81161,AL,w,d,d,registered
80192,CA,w,r,d,likely
13995,CO,h,d,r,likely
76571,CO,b,d,d,registered
20535,AL,w,d,d,registered
84047,CA,h,r,d,registered
97945,AK,w,r,r,likely
32733,AK,w,d,d,likely
40902,CO,w,r,d,registered
42324,CO,b,d,d,registered
89186,AR,b,d,d,likely
89858,AR,h,r,d,registered
21930,AL,w,r,d,registered
60573,AZ,n,r,d,registered
67927,CT,w,r,r,registered
48776,AL,w,d,d,likely
84203,CT,w,d,i,likely
30535,CO,h,r,i,registered
90578,CA,h,d,d,likely
52283,AZ,w,d,d,likely
10233,CO,h,d,d,registered
43223,AK,w,r,d,likely
81932,AR,w,d,r,likely
84529,AK,w,r,d,likely
23458,CO,w,d,d,likely
51756,AL,h,r,r,registered
59158,CA,w,r,d,likely
22656,AR,b,r,r,likely
62002,AR,h,r,d,registered
12818,AR,w,d,d,registered
93427,AR,w,d,d,registered
93598,CA,b,r,r,registered
11205,AK,b,d,r,registered
99566,AZ,w,d,r,registered
41305,AL,w,d,d,likely
30897,CO,b,d,d,registered
70026,CT,h,d,i,registered
55662,CT,h,d,r,registered
53971,CT,w,d,r,likely
38628,AK,w,d,r,registered
73932,AK,o,r,d,registered
96928,AZ,h,r,r,likely
79059,AL,w,d,d,registered
20056,AL,h,r,r,likely
64630,CT,h,r,r,registered
65134,AK,w,r,i,likely
26559,AZ,b,d,r,likely
52773,CA,w,r,d,registered
72605,AR,b,r,d,likely
49790,CT,h,r,r,likely
82783,AR,w,r,r,registered
55826,AK,h,d,r,registered
60239,CA,h,r,d,registered
12988,CA,h,r,d,registered
51272,CO,h,r,d,registered
47790,CT,h,r,d,likely
33154,CA,w,r,r,registered
20450,CT,w,r,d,registered
11732,AL,h,r,r,likely
86322,AR,h,r,d,registered
15939,CO,w,r,d,likely
73956,CA,h,r,d,registered
34978,AZ,w,d,d,registered
11068,AZ,a,r,d,likely
42028,CT,b,d,d,registered
24660,CO,b,d,r,likely
70869,CA,w,d,r,likely
29522,AR,b,d,r,registered
74320,AK,w,r,d,likely
79292,AZ,w,d,d,registered
22364,AL,b,d,d,likely
65544,AK,h,r,d,registered
94975,AR,w,r,d,registered
77267,CA,w,i,d,registered
18263,CO,w,r,r,registered
85779,AZ,w,r,d,likely
72068,CO,w,r,d,registered
27116,CT,w,d,d,registered
47690,CO,w,r,d,likely
79511,AZ,h,r,r,likely
61061,CO,w,r,d,registered
56167,CT,w,d,d,registered
89893,CA,h,r,d,registered
29956,AK,w,r,d,registered
59071,AR,w,r,i,likely
85713,CT,w,d,i,registered
52923,CT,b,r,d,likely
41483,CA,b,d,d,likely
75360,AK,w,d,d,likely
74961,AR,w,d,r,likely
97183,AL,w,r,d,registered
51481,CA,h,d,d,registered
28318,AL,w,d,i,registered
22632,CT,w,d,r,registered
41242,AR,h,d,d,likely
33157,CO,w,d,r,registered
86314,AZ,h,d,d,likely
29614,AL,h,r,d,registered
68298,AK,w,r,d,likely
70859,AZ,w,r,d,likely
84129,AR,h,r,r,likely
41971,AL,w,r,r,likely
61283,CA,h,d,d,registered
81395,CT,w,d,r,likely
39926,AR,o,r,r,registered
92992,CO,w,r,d,registered
59301,AR,w,r,r,registered
97707,AR,w,r,r,registered
40769,CT,w,r,r,likely
72761,AL,w,d,r,registered
28880,AL,h,r,d,likely
42461,AK,h,d,d,registered
12367,AZ,w,d,d,registered
40218,AZ,b,d,d,likely
47504,CA,w,r,d,registered
44141,AL,w,r,d,registered
14797,AZ,b,d,r,registered
85434,AK,w,r,r,likely
22794,CO,w,d,r,likely
99317,CO,h,d,r,likely
56902,CA,h,d,r,registered
70781,AK,w,d,r,registered
83292,CT,w,d,r,likely
97451,CO,a,d,r,registered
34203,AZ,w,d,r,likely
71307,AK,w,d,r,registered
52973,CO,w,r,r,registered
50680,AR,b,r,r,likely
10960,AL,w,d,d,registered
53973,AK,w,r,r,registered
60382,CO,h,d,r,registered
37027,AZ,w,d,d,registered
21555,CO,w,d,i,registered
43183,CA,w,d,r,registered
15397,CA,w,d,i,likely
81271,CO,w,r,d,registered
79719,AR,w,r,d,registered
35174,AK,a,d,r,registered
26771,CO,w,i,r,likely
29232,AL,w,d,d,registered
72139,AR,w,d,r,likely
53768,AK,w,r,r,registered
42704,CA,w,d,i,registered
35549,CT,h,d,r,likely
59685,CO,b,d,d,registered
76266,CO,w,r,d,likely
19299,AK,w,r,d,registered
73000,CA,b,r,d,registered
46701,CT,w,d,r,registered
62505,AL,w,d,d,registered
67066,CT,w,d,r,registered
52797,CT,w,r,d,registered
43899,AL,h,d,d,likely
21725,AK,h,d,r,registered
81465,AR,w,d,d,registered
18481,AR,b,r,r,registered
15350,CT,w,r,r,registered
95283,AZ,w,d,d,likely
33170,CO,h,d,r,registered
93950,AL,b,r,d,registered
29545,AR,b,r,d,registered
84856,AZ,b,r,i,likely
71536,CA,w,d,r,registered
82343,AZ,w,r,r,registered
80453,CO,w,d,r,likely
69889,CO,b,d,d,registered
99990,CT,w,d,r,registered
71285,CO,h,r,d,registered
91605,CT,w,d,d,likely
65357,AL,w,d,r,likely
12835,AK,b,d,d,likely
38364,AR,w,d,d,registered
39112,AZ,w,d,d,registered
45059,CA,w,r,d,likely
30316,CA,w,r,d,registered
78605,CA,h,d,i,likely
62071,CT,b,d,d,registered
29385,AR,w,d,d,likely
47847,AZ,a,r,r,likely
99541,CA,b,d,r,likely
44062,AR,w,d,r,registered
62447,CO,w,d,r,registered
39168,AR,a,r,d,registered
75515,AL,w,r,d,likely
26111,CA,a,r,r,registered
33751,AL,a,d,r,registered
84805,AR,b,r,d,likely
82337,AR,h,d,d,likely
97120,AL,h,r,d,likely
68028,CA,w,r,d,registered
49005,AK,w,r,r,likely
93925,CT,w,r,r,registered
98181,AK,a,r,r,likely
18837,AR,w,d,r,registered
82197,CA,w,r,d,registered
65447,CT,a,d,r,registered
79171,CA,w,r,r,registered
53072,AL,w,r,r,registered
30423,CA,w,r,r,registered
62670,AR,w,d,r,likely
74718,AZ,w,r,r,registered
89036,AR,b,d,d,likely
19604,AK,h,d,d,likely
48553,AR,h,r,r,likely
33357,AK,h,d,d,likely
43420,CT,a,i,i,registered
13607,AR,h,r,i,registered
51617,CT,w,r,d,likely
70717,CT,w,r,r,likely
11885,CA,h,r,r,likely
43133,AR,w,d,d,registered
41940,AK,h,r,d,registered
38804,AL,h,r,d,registered
73374,AR,w,r,i,likely
34309,CT,w,d,r,registered
62076,CO,w,r,d,registered
69562,CT,w,r,r,registered
80516,CA,h,r,d,registered
53029,AZ,b,r,r,registered
83089,AR,h,d,d,likely
60588,CT,w,d,d,likely
61769,AL,w,d,d,likely
88968,AL,h,d,r,likely
71224,AR,a,d,r,registered
76869,CA,w,d,d,likely
23880,AL,b,d,r,registered
42224,AK,w,d,r,likely
28493,AZ,w,d,d,likely
83943,CO,w,r,d,registered
43820,AR,w,r,i,registered
76889,CT,b,d,r,likely
58326,AL,h,r,d,likely
11494,CO,w,r,d,registered
85310,AK,w,r,r,registered
56514,AR,b,r,r,registered
14256,AZ,w,d,d,registered
52497,AK,a,d,r,registered
17773,AR,w,r,d,registered
90655,AR,h,r,r,registered
19742,AZ,w,r,d,registered
47312,CA,w,d,r,registered
14921,CA,w,d,d,registered
82692,CT,h,d,d,likely
95166,AK,w,d,d,likely
20023,CA,a,i,r,registered
16179,CA,a,r,d,likely
78986,AZ,w,d,r,likely
33270,AK,o,r,d,likely
52595,CT,w,d,d,likely
37596,AL,b,r,d,registered
54037,AL,h,d,d,registered
85786,AK,w,r,i,likely
57510,CA,w,r,d,registered
54681,CT,w,r,d,registered
42777,AL,w,d,d,registered
66926,AK,w,r,d,registered
80869,AR,b,r,d,registered
25381,AL,w,r,r,registered
31089,CA,o,d,r,likely
20224,CO,w,r,d,registered
87877,CA,w,r,d,registered
39004,AK,w,r,r,registered
10918,AZ,h,r,d,likely
63497,CA,w,d,i,likely
69999,CA,h,r,r,likely
28254,AR,w,r,r,likely
17244,CA,h,r,r,registered
47876,AL,w,d,r,likely
17792,AR,b,d,r,registered
26756,AR,a,d,d,likely
34656,AZ,w,r,r,registered
75257,CO,w,d,r,registered
93984,AL,h,r,d,registered
64805,CA,w,r,r,registered
60401,AL,w,d,d,registered
40875,AK,w,r,r,registered
44010,CO,h,d,r,registered
55748,AL,b,r,d,registered
67731,AL,h,r,i,likely
24044,CA,w,d,r,registered
39501,CO,h,d,r,registered
65574,AK,w,d,r,registered
43366,AK,w,d,i,registered
24537,AK,w,r,r,registered
14993,AK,b,d,d,registered
28102,CT,a,r,d,registered
19040,CA,h,r,d,registered
14292,AR,b,r,r,registered
97194,AL,w,r,d,registered
15141,AK,h,d,r,likely
24341,CA,w,i,d,likely
16342,CT,w,r,r,registered
98092,CT,w,r,r,likely
27385,AK,h,r,r,registered
13915,CO,b,d,d,registered
67361,CO,w,d,d,registered
91409,CT,w,r,d,registered
74016,CA,a,d,r,registered
50760,AR,b,d,d,registered
75037,AR,h,d,d,registered
84010,AK,h,d,d,likely
83431,AZ,w,r,r,registered
70710,AZ,w,r,d,registered
22444,CA,w,d,d,registered
56590,CO,h,r,d,registered
83720,AL,w,r,r,likely
34873,AZ,w,d,r,registered
33010,AK,w,r,r,registered
59375,CT,a,d,r,registered
63130,AK,w,d,d,registered
64323,CT,w,d,d,registered
62927,AZ,w,r,d,registered
30131,CA,w,r,d,registered
49420,AZ,b,d,d,registered
10794,CA,b,d,r,registered
93865,AK,w,i,d,registered
44619,AK,h,d,d,likely
97492,CT,a,d,r,likely
90161,AL,w,d,r,registered
82511,CT,w,r,r,registered
88450,CA,o,d,i,registered
16771,AZ,b,r,r,likely
15578,AL,w,r,r,likely
40793,AL,h,d,i,registered
50753,AR,h,d,r,likely
42973,CT,a,d,r,likely
28761,CA,b,d,r,registered
31440,AK,b,d,r,registered
62561,AZ,a,r,d,registered
49766,AK,h,r,r,registered
85193,CA,b,r,d,likely
45286,CA,w,d,r,registered
78487,AZ,w,r,r,likely
30293,CA,w,d,d,registered
43281,CA,w,r,d,registered
72479,AZ,w,r,r,registered
54875,AR,w,r,i,registered
20694,CO,w,d,i,registered
10864,AR,w,r,r,registered
26485,AZ,w,r,r,registered
16792,AR,w,d,d,registered
10204,AK,w,d,r,likely
41708,AR,h,d,r,registered
39084,CO,b,d,r,registered
28688,AR,w,d,r,registered
23920,AK,b,d,d,registered
73761,AZ,w,d,r,registered
19123,CA,h,r,d,registered
27507,CA,n,r,d,registered
98782,AZ,w,d,i,likely
83262,AK,w,r,d,likely
87438,AZ,w,r,d,registered
54644,AL,w,d,d,likely
50628,CT,a,r,d,registered
34070,CT,b,r,r,registered
99804,AK,w,r,d,registered
71294,AR,h,d,d,registered
75242,CA,w,r,r,registered
45086,AL,w,d,d,likely
60622,AL,a,d,i,registered
53363,CA,h,d,r,registered
85949,AR,w,d,r,registered
78808,CA,w,d,d,registered
31668,AR,w,d,r,registered
94433,AZ,w,d,d,registered
48559,CO,w,r,d,registered
49345,CT,a,d,r,likely
79037,AK,h,d,d,likely
10893,AR,b,r,d,likely
20567,CO,h,d,d,registered
84429,AL,h,r,r,registered
31390,CT,h,d,d,likely
31117,CA,h,r,r,registered
27492,AK,h,d,r,likely
34925,AL,h,d,d,registered
87742,CO,w,r,r,registered
36912,AR,w,d,r,likely
54640,AL,w,r,d,likely
84297,AR,h,r,r,likely
57979,CA,a,d,r,registered
50313,CT,w,d,r,likely
51398,CO,w,r,d,likely
27246,AZ,w,d,d,likely
63298,CA,h,r,r,likely
23285,AL,w,r,d,registered
61738,AZ,h,r,r,registered
41803,AK,o,d,d,registered
93125,CO,w,d,i,registered
92148,AK,w,r,r,registered
13446,AK,w,d,r,registered
98338,CT,h,r,d,registered
64358,AR,w,d,i,registered
78356,AZ,h,r,i,likely
18467,AR,w,d,i,likely
72565,CT,w,r,d,likely
52650,AZ,h,d,i,likely
60134,CA,w,r,d,likely
10746,AK,w,r,r,registered
19929,CA,w,d,r,registered
26983,AR,w,r,d,likely
29907,AZ,a,r,r,registered
92429,AZ,w,d,d,likely
80016,CT,w,d,r,registered
96155,AR,h,r,d,registered
87351,AK,h,r,r,registered
89125,AR,w,d,r,registered
58646,AL,h,r,d,likely
57818,AL,w,d,r,registered
38057,AL,w,d,d,registered
27217,AR,b,r,d,registered
94279,CA,w,r,r,likely
11016,CA,w,d,r,registered
46592,AZ,h,d,d,registered
29524,CO,a,d,d,likely
46231,AL,b,d,r,likely
96081,CA,w,r,r,registered
89316,AL,w,d,d,likely
51326,CO,w,r,d,registered
51194,CT,w,i,d,registered
58843,AK,w,d,r,registered
33013,CA,w,d,d,registered
82621,AK,w,d,i,likely
14916,AL,w,d,d,likely
78927,CT,w,r,r,registered
40041,AZ,w,r,d,registered
69310,CT,b,r,d,registered
88058,AR,w,r,r,registered
74979,AR,w,d,d,registered
68220,AR,b,r,r,registered
67666,AZ,w,d,d,registered
14223,CT,h,r,r,likely
88894,CA,w,d,r,registered
49379,CA,w,r,r,registered
39630,AZ,w,r,r,registered
41136,CT,w,d,r,registered
96065,AK,b,r,r,registered
62061,CT,w,r,d,registered
75338,CA,w,d,d,registered
70185,AL,a,r,r,registered
16906,CA,h,r,r,likely
52041,AK,w,d,r,registered
66729,AR,b,d,d,likely
78313,AZ,w,d,d,registered
46165,AR,w,d,r,registered
95417,CO,a,r,d,likely
81742,AK,a,r,r,registered
43448,AR,w,r,d,registered
88341,AL,w,d,r,registered
38237,CO,w,d,d,registered
67647,AR,a,r,r,likely
63759,AZ,h,r,r,likely
34253,AR,b,d,r,registered
83082,CO,w,d,r,likely
88290,AZ,w,d,d,likely
85094,CA,h,d,r,registered
99602,CO,b,r,d,likely
40957,AR,w,r,d,registered
11207,CO,w,d,r,likely
15689,AK,w,r,r,registered
16965,AK,a,r,r,registered
80152,AZ,w,d,r,likely
66170,AZ,o,r,r,registered
77923,AL,w,d,d,registered
13310,AR,w,r,r,registered
12698,AK,w,r,i,registered
77120,CO,h,d,r,registered
47011,AR,w,d,r,registered
67159,AK,w,d,d,registered
78348,CT,h,d,d,registered
16911,CT,h,d,r,registered
52048,CA,w,r,d,likely
67241,AK,a,r,d,registered
68891,CO,w,d,r,registered
65834,CO,w,r,r,registered
93518,CA,a,r,d,registered
39829,CA,h,r,r,likely
40427,AR,w,d,d,likely
57062,CT,w,d,r,registered
74965,CO,a,d,d,likely
25451,AL,o,d,r,registered
94961,CO,h,d,d,registered
30297,AK,h,d,r,registered
80180,AL,w,d,r,registered
14719,AR,w,d,r,likely
97297,CA,w,d,r,registered
54376,CO,w,d,d,registered
58700,AK,w,d,d,registered
50250,CA,w,r,r,registered
93078,CO,b,d,r,likely
53568,AK,w,r,r,likely
20819,AL,w,d,r,registered
47263,AL,w,r,d,registered
61940,CT,h,r,r,registered
23960,CO,w,d,r,registered
65965,CA,w,r,r,registered
55804,AK,w,d,r,likely
45840,CA,w,d,r,registered
50316,AR,a,r,r,likely
50224,AZ,h,d,d,likely
73240,AZ,w,d,d,registered
91833,CA,h,d,d,likely
68747,CT,b,r,d,likely
46505,CO,h,d,r,registered
36104,CT,w,d,r,likely
55095,CO,b,r,d,likely
72292,AL,w,r,r,likely
25475,CT,w,r,d,likely
69767,AK,w,d,d,registered
93619,AK,a,r,d,registered
29531,CA,h,r,r,registered
41071,CT,w,d,r,registered
61727,CT,w,d,d,likely
95660,CA,b,d,r,likely
24947,CO,w,r,d,likely
27513,AR,w,r,d,registered
98845,AR,w,d,r,registered
82039,CA,b,d,i,registered
72634,AR,w,r,d,registered
58789,AL,w,d,d,registered
15203,AL,w,i,d,registered
84648,AL,w,d,r,likely
66563,AL,h,r,d,registered
59708,AL,w,r,d,registered
38453,CO,w,r,d,likely
48012,AR,b,d,r,likely
46588,AZ,w,r,r,likely
56672,AL,w,d,r,registered
75225,AL,w,r,d,likely
23541,AK,h,r,d,registered
95597,CO,w,d,r,likely
27411,CO,b,d,r,registered
70207,AL,w,d,r,registered
13229,AK,w,d,i,registered
88632,AR,a,d,r,registered
46678,CT,a,d,d,likely
59135,AL,h,d,d,registered
74744,AR,h,d,r,registered
44135,CA,w,r,d,registered
55393,CA,h,d,r,registered
55287,AL,b,r,r,registered
32936,CT,w,r,r,likely
90389,CT,h,d,r,likely
51375,CO,w,r,r,likely
29790,AR,b,r,d,likely
43311,CA,w,r,d,registered
56562,AK,a,r,r,registered
37688,CO,w,d,d,likely
15261,CA,w,d,r,registered
74563,CT,h,r,d,likely
73640,AL,h,d,r,registered
13608,AR,w,d,r,registered
24659,AK,w,r,r,registered
80695,CA,w,d,r,registered
98516,AK,h,r,r,registered
14798,CO,w,d,d,registered
38325,AR,w,d,r,registered
35371,AK,w,r,r,registered
96333,AZ,b,d,d,registered
24187,AK,b,d,d,registered
99200,CA,w,r,d,likely
27848,AR,h,r,d,registered
33612,CT,w,d,r,registered
74594,AZ,w,r,r,registered
82901,CA,w,d,r,registered
86055,CA,h,r,r,registered
28481,AK,w,r,r,registered
53801,CT,w,r,d,registered
54899,CT,b,d,d,registered
67718,AR,w,r,d,likely
67995,CO,h,d,d,registered
18221,AR,w,r,r,registered
49807,AL,w,r,r,likely
50960,AK,h,d,r,likely
48726,AK,h,r,r,registered
69039,AZ,w,r,d,registered
61482,CT,w,d,r,registered
41259,CO,h,r,d,registered
40597,AK,h,d,r,registered
99836,CA,w,i,d,registered
91103,AR,w,r,r,likely
97663,AL,w,r,d,likely
12886,CT,a,r,r,registered
55229,AZ,h,d,i,registered
79432,CT,h,d,d,registered
62640,AR,w,r,d,likely
90049,AL,h,d,d,registered
34586,AR,h,d,d,likely
38331,AR,w,r,r,registered
37582,AL,w,r,r,registered
91673,AZ,h,d,r,registered
25158,AR,w,r,r,registered
35417,CO,h,d,r,registered
90541,CA,h,d,r,registered
99323,AZ,w,r,d,registered
71979,CO,h,d,r,registered
95498,CT,b,i,r,likely
13999,CT,w,r,r,registered
89687,CA,w,d,d,registered
16550,AK,w,d,d,likely
61161,AZ,w,r,r,likely
36234,AK,w,d,r,registered
94580,AZ,w,r,d,registered
52523,CT,w,d,r,registered
62323,CA,h,d,d,registered
90022,AL,b,r,d,likely
16648,AR,w,r,r,registered
72542,CT,w,i,r,registered
98461,AR,w,r,r,likely
30963,AL,w,d,r,likely
55314,CO,w,r,r,likely
95486,AR,b,r,d,registered
56031,AK,w,r,r,registered
85918,CO,a,r,d,registered
84246,CO,w,r,r,registered
66560,CO,w,r,d,likely
54090,CA,w,d,d,likely
56460,CA,h,r,r,registered
65439,AR,w,d,d,likely
98761,CA,h,r,r,registered
70174,CT,w,d,r,likely
33216,AZ,w,r,r,likely
55193,CA,w,r,d,likely
40687,AL,w,d,d,registered
58357,AZ,b,d,r,likely
25621,AZ,b,r,d,registered
60347,AL,b,r,r,likely
21217,CO,h,r,d,registered
13516,AR,h,r,r,registered
73869,AR,w,r,d,registered
47429,CA,b,r,d,registered
46894,AK,w,r,r,registered
88798,AK,w,r,r,registered
24754,CO,w,r,r,likely
78408,AZ,b,d,d,registered
42751,AL,w,d,r,registered
19540,AZ,h,r,d,registered
45830,AK,a,d,r,registered
91684,CO,w,r,r,registered
57081,CT,w,r,d,registered
46430,CO,b,r,r,registered
